ï»¿APPè·å4can.top,#genre#


CCTV1,https://60.191.56.186:8888/hls/1/index.m3u8

CCTV2,https://60.191.56.186:8888/hls/2/index.m3u8

CCTV3,https://60.191.56.186:8888/hls/3/index.m3u8

CCTV4,http://www.liuliuball.cn:8888/udp/239.69.1.138:10466

CCTV5,https://60.191.56.186:8888/hls/5/index.m3u8

CCTV5+,https://60.191.56.186:8888/hls/15/index.m3u8

CCTV6,https://60.191.56.186:8888/hls/6/index.m3u8

CCTV7,https://60.191.56.186:8888/hls/7/index.m3u8

CCTV8,https://60.191.56.186:8888/hls/8/index.m3u8

CCTV9,https://60.191.56.186:8888/hls/9/index.m3u8

CCTV10,https://60.191.56.186:8888/hls/10/index.m3u8

CCTV11,http://www.liuliuball.cn:8888/udp/239.69.1.154:10560
CCTV12,https://60.191.56.186:8888/hls/12/index.m3u8

CCTV13,https://60.191.56.186:8888/hls/13/index.m3u8

CCTV14,http://www.liuliuball.cn:8888/udp/239.69.1.107:10280

CCTV15,https://60.191.56.186:8888/hls/14/index.m3u8

CCTV16,https://60.191.56.186:8888/hls/16/index.m3u8

CCTV13,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV6,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV7,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV-9çºªå½ (1080p),https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV-1,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV-1,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV10,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV11,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV12,http://120.76.248.139/live/bfgd/4200000131.m3u8
CCTV14,http://120.76.248.139/live/bfgd/4200000132.m3u8
CCTV15,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV17,http://120.76.248.139/live/bfgd/4200000204.m3u8
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV9,http://120.76.248.139/live/bfgd/4200000128.m3u8
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8
09-07-2024 Guangdong 
CCTV8,http://120.76.248.139/live/bfgd/4200000066.m3u8
CGTN,http://120.76.248.139/live/bfgd/4200000134.m3u8
CCTV1,http://183.250.156.180:9999/newlive/live/hls/1/live.m3u8
CCTV2,http://183.250.156.180:9999/newlive/live/hls/2/live.m3u8
CCTV3,http://183.250.156.180:9999/newlive/live/hls/3/live.m3u8
CCTV4,http://183.250.156.180:9999/newlive/live/hls/4/live.m3u8
CCTV5,http://183.250.156.180:9999/newlive/live/hls/5/live.m3u8
CCTV5+,http://183.250.156.180:9999/newlive/live/hls/6/live.m3u8
