央视频道,#genre#

CCTV1综合,http://mg.cttv.vip/608807420
CCTV1综合,http://47.100.80.251:50001/608807420
CCTV1综合,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv1&zy.m3u8
CCTV1综合,http://173.208.212.130:8181/1080p/cctv1.m3u8

CCTV2财经,http://mg.cttv.vip/631780532
CCTV2财经,http://47.100.80.251:50001/631780532
CCTV2财经,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv2&zy.m3u8
CCTV2财经,http://173.208.212.130:8181/1080p/cctv2.m3u8

CCTV3综艺,http://mg.cttv.vip/624878271
CCTV3综艺,http://47.100.80.251:50001/624878271
CCTV3综艺,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv3&zy.m3u8
CCTV3综艺,http://173.208.212.130:8181/1080p/cctv3.m3u8

CCTV4中文国际,http://mg.cttv.vip/631780421
CCTV4中文国际,http://47.100.80.251:50001/631780421
CCTV4中文国际,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv4&zy.m3u8
CCTV4中文国际,http://173.208.212.130:8181/1080p/cctv4.m3u8

CCTV5体育,http://mg.cttv.vip/641886683
CCTV5体育,http://47.100.80.251:50001/641886683
CCTV5体育,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv5&zy.m3u8
CCTV5体育,http://218.13.148.152:5140/IPTV-央视/CCTV-5

CCTV6电影,http://mg.cttv.vip/624878396
CCTV6电影,http://47.100.80.251:50001/624878396
CCTV6电影,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv6
CCTV6电影,http://173.208.212.130:8181/1080p/cctv6.m3u8

CCTV7军农,http://mg.cttv.vip/673168121
CCTV7军农,http://47.100.80.251:50001/673168121
CCTV7军农,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv7&zy.m3u8
CCTV7军农,http://173.208.212.130:8181/1080p/cctv7.m3u8

CCTV8电视剧,http://mg.cttv.vip/624878356
CCTV8电视剧,http://47.100.80.251:50001/624878356
CCTV8电视剧,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv8&zy.m3u8
CCTV8电视剧,http://173.208.212.130:8181/1080p/cctv8.m3u8

CCTV9纪录,http://mg.cttv.vip/673168140
CCTV9纪录,http://47.100.80.251:50001/673168140
CCTV9纪录,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv9&zy.m3u8
CCTV9纪录,http://173.208.212.130:8181/1080p/cctv9.m3u8

CCTV10科教,http://mg.cttv.vip/624878405
CCTV10科教,http://47.100.80.251:50001/624878405
CCTV10科教,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv10&zy.m3u8
CCTV10科教,http://173.208.212.130:8181/1080p/cctv10.m3u8

CCTV11戏曲,http://mg.cttv.vip/667987558
CCTV11戏曲,http://47.100.80.251:50001/667987558
CCTV11戏曲,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv11&zy.m3u8
CCTV11戏曲,http://173.208.212.130:8181/1080p/cctv11.m3u8

CCTV12,http://mg.cttv.vip/673168185
CCTV12,http://47.100.80.251:50001/673168185
CCTV12,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv12&zy.m3u8
CCTV12,http://173.208.212.130:8181/1080p/cctv12.m3u8

CCTV13新闻,http://mg.cttv.vip/608807423
CCTV13新闻,http://47.100.80.251:50001/608807423
