🕘️更新时间,#genre#
2026-07-21 17:40:48,http://183.10.180.133:212/tsfile/live/1035_1.m3u8

🍄┃广东频道,#genre#
广州综合,http://183.10.180.133:212/tsfile/live/1035_1.m3u8
广州综合,http://183.10.180.19:212/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&down=1
广州综合,http://183.10.180.243:202/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&down=1
广州综合,http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487
广州影视,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广州影视,https://stream1.freetv.fun/yan-zhou-ying-shi-6.ctv
广州影视,https://stream1.freetv.fun/yan-zhou-ying-shi-15.ctv
广州影视,https://stream1.freetv.fun/yan-zhou-ying-shi-7.ctv
广州影视,https://stream1.freetv.fun/yan-zhou-ying-shi-28.ctv
广州新闻,http://115.29.208.41:34567/gd.php?id=1176
广州新闻,http://115.29.208.41:34567/gd.php?id=gzxw
广州新闻,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广州新闻,http://tencentplaygzrb01.gztv.com/live/xinwen.m3u8
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d217bd6cf85c93e3b47b96504cd2dc1c&txTime=18e6ff29019
广州竞赛,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广州竞赛,http://8.138.7.223/tv/gzjs.m3u8
广州竞赛,https://stream1.freetv.fun/yan-zhou-jing-sai-34.ctv
广州竞赛,https://stream1.freetv.fun/yan-zhou-jing-sai-38.ctv
广州竞赛,https://stream1.freetv.fun/yan-zhou-jing-sai-32.ctv
广州法治,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广州法治,http://cdn.jdshipin.com:8880/gztv.php?id=fazhi
广州法治,http://www.3344.uk:8888/rtp/239.253.43.69:5146
广州法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州法治,http://www.3344.uk:8888/udp/239.253.43.74:5146
南国都市,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
南国都市,https://tencentplaygsm.gztv.com/live/nanguodushi.m3u8?txTime=6594e9d5&txSecret=e783742d1233ae402ec4566b8537ca17
南国都市,http://r.jdshipin.com/nWaZO
南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
南国都市,http://iptv.cqshushu.com/gddf.php?id=ngds&token=5c8e9229d26964074bfdc4de1aacec9f
广州影视频道,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广州影视频道,http://php.jdshipin.com:8880/gztv.php?id=yingshi
广州电视台影视频道,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广州电视台法治频道,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广州南国都市频道,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
4K南国都市频道,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广州竞赛频道,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广州竞赛频道,http://php.jdshipin.com:8880/gztv.php?id=jingsai
广东珠江,http://115.29.208.41:34567/gd.php?id=44
广东珠江,http://115.29.208.41:34567/gd.php?id=1183
广东珠江,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广东珠江,http://107.150.60.122/live/gdzj.m3u8
广东珠江,http://38.75.136.137:98/gslb/dsdqbv/gdzj.m3u8?auth=test20251009
广东新闻,http://115.29.208.41:34567/gd.php?id=45
广东新闻,http://115.29.208.41:34567/gd.php?id=1186
广东新闻,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广东新闻,http://192.151.150.154/live/gdxw.m3u8
广东新闻,http://198.204.228.26/live/gdxw.m3u8
广东卫视,http://115.29.208.41:34567/gd.php?id=43
广东卫视,http://115.29.208.41:34567/gd.php?id=1182
广东卫视,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4
广东卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gdwshd
广东民生,http://115.29.208.41:34567/gd.php?id=48
广东民生,http://115.29.208.41:34567/gd.php?id=1185
广东民生,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广东民生,https://hk.188766.xyz/?migutoken=08f126f29a9e9334c492a23a0f40038f&id=gd_gdms&type=sz
广东民生,https://stream1.freetv.fun/yan-dong-min-sheng-9.ctv
大湾区卫视,http://115.29.208.41:34567/gd.php?id=51
大湾区卫视,http://115.29.208.41:34567/gd.php?id=1197
大湾区卫视,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8
大湾区卫视,https://migu.188766.xyz/?migutoken=7924174c7d55ccad4a2cf21add185dad&id=%E5%A4%A7%E6%B9%BE%E5%8C%BA%E5%8D%AB%E8%A7%86&type=yy
广东体育,http://115.29.208.41:34567/gd.php?id=47
广东体育,http://115.29.208.41:34567/gd.php?id=1184
广东体育,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广东体育,http://198.204.228.26/live/gdty.m3u8
广东体育,http://38.75.136.137:98/gslb/dsdqpub/gdty.m3u8?auth=testpub
江门综合,http://115.29.208.41:34567/gd.php?id=jmzh
江门综合,http://115.29.208.41:34567/gd.php?id=1248
江门综合,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
江门综合,https://stream1.freetv.fun/jiang-men-zong-he-2.ctv
江门综合,https://stream1.freetv.fun/jiang-men-zong-he-7.ctv
江门侨乡生活,http://115.29.208.41:34567/gd.php?id=jmqxsh
江门侨乡生活,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
江门侨乡生活,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/3711.m3u8
江门侨乡生活,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/3701.m3u8
佛山综合,http://115.29.208.41:34567/gd.php?id=fszh
佛山综合,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
佛山综合,https://stream1.freetv.fun/fo-shan-zong-he-7.ctv
佛山综合,https://stream1.freetv.fun/fo-shan-zong-he-9.ctv
佛山综合,https://stream1.freetv.fun/fo-shan-zong-he-17.ctv
深圳卫视,http://115.29.208.41:34567/gd.php?id=sz1
深圳卫视,http://115.29.208.41:34567/gd.php?id=1206
深圳卫视,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
深圳卫视,https://live.264788.xyz/channel/shenzhenweishi?streamid=f98636f6df884178cf8214971427afc1&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
深圳卫视,https://live.264788.xyz/channel/shenzhenweishi?streamid=f12235d6d3e35c15aa302f9ab171b29a&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
汕头综合,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-5.ctv
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-9.ctv
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-3.ctv
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-4.ctv
汕头经济,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
汕头经济,https://stream1.freetv.fun/shan-tou-jing-ji-1.ctv
汕头经济,https://stream1.freetv.fun/shan-tou-jing-ji-6.ctv
汕头经济,https://stream1.freetv.fun/shan-tou-jing-ji-3.ctv
汕头经济,https://stream1.freetv.fun/shan-tou-jing-ji-4.ctv
